"departement","nb.catnat","nb.catnat_10ans","nb.catnat_5ans","nb.catnat_1ans","durée","duree_10ans","duree_5ans","duree_1ans","risque"
"39",10965,153,126,0,18.5024377726456,1.46099290780142,1.80701754385965,NA,"Inondation"
"40",10162,377,270,26,10.0213915298185,7.24575371549894,8.52898550724638,0.208333333333333,"Inondation"
"41",5558,189,3,0,7.44945159752027,5.95430107526882,0.333333333333333,NA,"Inondation"
"42",11290,80,54,32,8.61891310196395,0.487012987012987,0.365384615384615,0.258064516129032,"Inondation"
"43",6222,113,84,2,2.04254007398274,1.39090909090909,1.77777777777778,0,"Inondation"
"44",5451,116,67,6,7.01519536903039,1.3047619047619,0.566666666666667,0.6,"Inondation"
"45",5990,342,24,2,6.5922208281054,6.49703264094955,0.333333333333333,1.5,"Inondation"
"46",10983,64,57,16,3.26983447488584,1.70491803278689,1.92592592592593,0.25,"Inondation"
"47",29170,313,277,45,3.36321934179077,2.66077738515901,2.97570850202429,1.54761904761905,"Inondation"
"48",4376,120,81,2,2.32928942807626,1.77551020408163,2.15151515151515,0,"Inondation"
"49",16878,72,64,3,11.8172437915355,0.519774011299435,0.581699346405229,0,"Inondation"
"50",8493,67,48,10,5.20208333333333,0.642857142857143,0.391304347826087,0.666666666666667,"Inondation"
"51",6723,128,100,6,9.87470532767562,5.01553672316384,6.32037037037037,0,"Inondation"
"52",5747,128,91,0,7.84627329192547,1.63333333333333,1.80952380952381,NA,"Inondation"
"53",3681,129,102,16,3.48103632478632,0.174454828660436,0.148373983739837,0,"Inondation"
"54",22827,157,83,17,9.56481081858725,3.03973509933775,2.01875,0.647058823529412,"Inondation"
"55",8859,174,105,1,7.804698457223,3.54573170731707,2.859375,0,"Inondation"
"56",7078,178,21,2,7.75800156128025,1.36220472440945,0.238095238095238,0,"Inondation"
"57",24760,172,102,5,9.65343668285394,1.29245283018868,0.935483870967742,1,"Inondation"
"58",5725,21,9,7,3.38993710691824,0.80952380952381,0,0,"Inondation"
"59",20115,264,94,19,9.92591706539075,0.698478561549101,0.998039215686275,1.15789473684211,"Inondation"
"60",10332,222,139,4,7.46680384087792,1.12342342342342,1.42959770114943,0,"Inondation"
"61",4158,171,146,1,4.24465941152761,1.07537154989384,0.904761904761905,0,"Inondation"
"62",28515,451,223,17,9.86749948272295,1.68246051537822,0.906937394247039,0.117647058823529,"Inondation"
"63",13918,73,44,10,3.25653702482971,0.570422535211268,0.297619047619048,0.2,"Inondation"
"64",34571,756,484,96,1.97748829761025,1.46916666666667,1.31299927378359,0.411764705882353,"Inondation"
"65",15602,319,154,32,3.04016421195192,2.19263698630137,1.38120567375887,1.90322580645161,"Inondation"
"66",19668,319,117,6,2.22257162823201,1.53548387096774,1.49568965517241,0,"Inondation"
"67",14904,155,91,8,8.38912466843501,0.311111111111111,0.205128205128205,0.785714285714286,"Inondation"
"68",7686,116,47,1,3.53871906841339,0.37962962962963,0.325581395348837,0,"Inondation"
"69",21219,52,19,5,8.70079239302694,0.519607843137255,0.210526315789474,0.2,"Inondation"
"70",21839,99,52,0,4.78733073641254,0.768041237113402,1.42156862745098,NA,"Inondation"
"71",24753,177,74,9,7.34494338898484,1.10174418604651,1.02142857142857,0.222222222222222,"Inondation"
"72",9627,173,122,8,5.88280864197531,1.78301886792453,0.85,0,"Inondation"
"73",5880,117,56,5,2.71540312876053,0.897196261682243,1.07407407407407,0.2,"Inondation"
"74",6324,136,44,2,2.87527162103433,2.02827380952381,1.20940170940171,0,"Inondation"
"75",285,4,2,0,2.16666666666667,6.5,10.5,NA,"Inondation"
